Year_of_study,Field_of_study,Ever_used_platform,Time_investing,Main_platform_type,Confidence_in_terms,Return_in_30_years,Purchasing_power_q,Single_stock_risk_q,Risk_Reward,Inflation_time_value_q,Diversification_purpose_q,Inflation_rate_q,Knowledge_improved,Confidence_interpreting_data,Features_used_most,Regretted_misinterpretation,Frequency_based_on_app_data,Greater_influence,Apps_oversimplify,Likely_to_use_new_features,Data_viz_helps
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It increases,More risky than investing in a diversified fund,Not sure,£100 today,To guarantee higher overall returns,Exactly 0% interest,N/A - Not an investor,Not confident,Portfolio analytics,Not sure,Rarely,Personal decisions,Agree,Neutral,Agree
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,Not sure,More risky than investing in a diversified fund,Not sure,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Market news,No,Never,Advice from others,Agree,Very likely,Agree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,Not sure,To guarantee higher overall returns,Less than 10% interest,N/A - Not an investor,Confident,Stock performance charts,Yes,Rarely,Data and analytics,Disagree,Neutral,Agree
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Portfolio analytics,No,Always,Data and analytics,Strongly disagree,Likely,Strongly agree
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Portfolio analytics,No,Rarely,Data and analytics,Neutral,Very likely,Strongly agree
2nd year,Other,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It increases,Not sure,Risk and reward are not related,£100 today,Not sure,Exactly 0% interest,N/A - Not an investor,Not confident,Portfolio analytics,No,Sometimes,Social media trends,Neutral,Unlikely,Agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It stays the same,More risky than investing in a diversified fund,Risk and reward are not related,£100 today,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Somewhat confident,AI or data insights,No,Sometimes,Social media trends,Neutral,Very likely,Strongly disagree
Postgraduate,Engineering/ Science,Yes,Less than 6 months,Trading app,Confident,Not Sure,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,AI or data insights,Not sure,Sometimes,Advice from others,Neutral,Neutral,Disagree
3rd year,Other,Yes,6-12 months,Other,Confident,Capital (Your Investment),Not sure,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£100 today,To reduce the overall risk of the portfolio,Not sure,Slightly,Very confident,Portfolio analytics,No,Sometimes,Data and analytics,Agree,Unlikely,Disagree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Not sure,N/A - Not an investor,Very confident,Market news,No,Never,Social media trends,Disagree,Neutral,Strongly agree
3rd year,Other,Yes,6-12 months,Trading app,Confident,Will be equal,It decreases,Less risky,Not sure,£110 in one year,To guarantee higher overall returns,Less than 10% interest,No,Not confident,Market news,Yes,Sometimes,Social media trends,Strongly agree,Neutral,Neutral
3rd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,Not sure,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,Yes,Rarely,Personal decisions,Neutral,Neutral,Agree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It decreases,As risky,Higher risk generally leads to lower potential reward,No difference,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Rarely,Advice from others,Disagree,Very unlikely,Neutral
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It stays the same,As risky,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Market news,No,Rarely,Advice from others,Strongly agree,Very likely,Disagree
3rd year,Humanities / Arts,Yes,Less than 6 months,Trading app,Confident,Not Sure,Not sure,Less risky,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Exactly 10% interest,Slightly,Somewhat confident,Stock performance charts,No,Rarely,Social media trends,Strongly disagree,Neutral,Agree
2nd year,Business / Economics,Yes,Over 2 years,Trading app,Very confident,Not Sure,It decreases,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,Significantly,Somewhat confident,AI or data insights,Yes,Always,Data and analytics,Neutral,Neutral,Neutral
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,It decreases,Less risky,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Confident,AI or data insights,Yes,Rarely,Advice from others,Strongly agree,Neutral,Agree
2nd year,Business / Economics,Yes,6-12 months,Trading app,Confident,Capital (Your Investment),It increases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Stock performance charts,Yes,Sometimes,Data and analytics,Disagree,Very likely,Strongly agree
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It decreases,Not sure,Higher risk generally leads to lower potential reward,Not sure,To minimize fees and expenses,Less than 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Never,Social media trends,Agree,Very unlikely,Neutral
Postgraduate,Humanities / Arts,Yes,6-12 months,Other,Not confident,Capital (Your Investment),It stays the same,Not sure,Not sure,No difference,Not sure,Less than 10% interest,Slightly,Somewhat confident,AI or data insights,No,Rarely,Advice from others,Disagree,Neutral,Disagree
Postgraduate,Engineering/ Science,Yes,Less than 6 months,Robo-advisor,Somewhat confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Not sure,No difference,To reduce the overall risk of the portfolio,Exactly 0% interest,Slightly,Confident,Portfolio analytics,No,Never,Social media trends,Disagree,Unlikely,Strongly agree
3rd year,Humanities / Arts,Yes,Less than 6 months,Trading app,Confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To minimize fees and expenses,Exactly 10% interest,No,Somewhat confident,Market news,Yes,Rarely,Social media trends,Agree,Unlikely,Neutral
1st year,Other,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,Not sure,Not sure,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 0% interest,No,Confident,Portfolio analytics,Yes,Never,Social media trends,Agree,Neutral,Neutral
1st year,Engineering/ Science,Yes,6-12 months,Other,Very confident,Compound interest/growth,It increases,As risky,Not sure,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,No,Confident,Portfolio analytics,No,Often,Social media trends,Strongly agree,Unlikely,Agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,Not sure,Not sure,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Rarely,Personal decisions,Agree,Very likely,Agree
3rd year,Engineering/ Science,Yes,Less than 6 months,Robo-advisor,Somewhat confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Not sure,No difference,To reduce the overall risk of the portfolio,Not sure,No,Somewhat confident,Market news,No,Sometimes,Advice from others,Agree,Neutral,Neutral
1st year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Confident,Capital (Your Investment),It increases,Not sure,Higher risk generally leads to higher potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,No,Somewhat confident,Portfolio analytics,No,Sometimes,Personal decisions,Strongly disagree,Neutral,Agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Not confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Stock performance charts,Yes,Rarely,Personal decisions,Disagree,Likely,Neutral
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Market news,No,Sometimes,Advice from others,Agree,Unlikely,Agree
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,No difference,Not sure,Exactly 10% interest,N/A - Not an investor,Very confident,Stock performance charts,No,Sometimes,Personal decisions,Neutral,Likely,Disagree
1st year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 0% interest,N/A - Not an investor,Confident,Market news,No,Sometimes,Social media trends,Agree,Unlikely,Agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Not confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,Slightly,Very confident,Stock performance charts,Yes,Often,Data and analytics,Disagree,Likely,Neutral
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Confident,Portfolio analytics,No,Rarely,Social media trends,Strongly agree,Very likely,Strongly agree
3rd year,Business / Economics,Yes,Less than 6 months,Robo-advisor,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,Not sure,Exactly 0% interest,Moderately,Confident,Portfolio analytics,No,Often,Data and analytics,Agree,Unlikely,Neutral
Postgraduate,Engineering/ Science,Yes,1-2 years,Other,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Stock performance charts,No,Always,Data and analytics,Strongly disagree,Very likely,Strongly agree
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,It stays the same,More risky than investing in a diversified fund,Risk and reward are not related,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Not confident,AI or data insights,No,Sometimes,Data and analytics,Strongly agree,Very unlikely,Neutral
2nd year,Other,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It increases,Not sure,Higher risk generally leads to higher potential reward,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Confident,Portfolio analytics,No,Rarely,Personal decisions,Agree,Unlikely,Disagree
2nd year,Humanities / Arts,Yes,6-12 months,Robo-advisor,Not confident,Not Sure,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£100 today,To minimize fees and expenses,Less than 10% interest,Significantly,Not confident,Portfolio analytics,No,Rarely,Personal decisions,Strongly agree,Neutral,Neutral
2nd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It decreases,As risky,Risk and reward are not related,£110 in one year,Not sure,Not sure,Slightly,Very confident,Stock performance charts,No,Rarely,Data and analytics,Agree,Neutral,Agree
1st year,Business / Economics,Yes,6-12 months,Trading app,Confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,Moderately,Not confident,Portfolio analytics,Yes,Often,Data and analytics,Neutral,Likely,Strongly agree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,Portfolio analytics,No,Often,Data and analytics,Strongly disagree,Likely,Strongly agree
3rd year,Other,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,It decreases,Not sure,Risk and reward are not related,£110 in one year,To guarantee higher overall returns,Less than 10% interest,N/A - Not an investor,Confident,Stock performance charts,Yes,Rarely,Personal decisions,Neutral,Very unlikely,Neutral
3rd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Somewhat confident,Not Sure,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,AI or data insights,No,Often,Advice from others,Agree,Neutral,Disagree
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Capital (Your Investment),It stays the same,Less risky,Higher risk generally leads to higher potential reward,£100 today,To minimize fees and expenses,Less than 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Never,Advice from others,Strongly agree,Unlikely,Strongly agree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Not confident,Stock performance charts,Yes,Often,Data and analytics,Strongly disagree,Likely,Neutral
Postgraduate,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Not confident,Capital (Your Investment),Not sure,Not sure,Higher risk generally leads to lower potential reward,£100 today,To guarantee higher overall returns,Less than 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Rarely,Personal decisions,Strongly agree,Unlikely,Neutral
2nd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,Not sure,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Rarely,Advice from others,Strongly agree,Unlikely,Strongly agree
Postgraduate,Business / Economics,Yes,Less than 6 months,Robo-advisor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,No,Very confident,Market news,Not sure,Always,Data and analytics,Neutral,Very likely,Strongly agree
1st year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Very confident,Portfolio analytics,No,Sometimes,Data and analytics,Strongly disagree,Likely,Strongly agree
2nd year,Other,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,No difference,Not sure,Not sure,N/A - Not an investor,Not confident,Portfolio analytics,No,Never,Social media trends,Disagree,Neutral,Disagree
3rd year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It decreases,Less risky,Higher risk generally leads to lower potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 0% interest,N/A - Not an investor,Confident,Market news,No,Rarely,Social media trends,Strongly agree,Very unlikely,Neutral
1st year,Business / Economics,Yes,1-2 years,Trading app,Somewhat confident,Will be equal,It decreases,Less risky,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Confident,Other,Yes,Rarely,Social media trends,Agree,Very likely,Disagree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Will be equal,Not sure,As risky,Not sure,Not sure,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Market news,No,Never,Social media trends,Strongly agree,Unlikely,Agree
2nd year,Other,Yes,1-2 years,Trading app,Somewhat confident,Will be equal,It decreases,Not sure,Not sure,No difference,Not sure,Not sure,Moderately,Somewhat confident,Portfolio analytics,No,Sometimes,Personal decisions,Strongly agree,Neutral,Agree
2nd year,Other,Yes,Over 2 years,Trading app,Very confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,Moderately,Confident,Stock performance charts,Yes,Often,Data and analytics,Disagree,Very likely,Agree
Postgraduate,Business / Economics,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Portfolio analytics,Not sure,Sometimes,Data and analytics,Strongly disagree,Neutral,Strongly agree
Postgraduate,Engineering/ Science,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 10% interest,No,Confident,Portfolio analytics,No,Rarely,Data and analytics,Neutral,Unlikely,Neutral
Postgraduate,Engineering/ Science,Yes,Less than 6 months,Trading app,Very confident,Capital (Your Investment),It stays the same,Less risky,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,Moderately,Very confident,Stock performance charts,No,Sometimes,Social media trends,Neutral,Very likely,Strongly agree
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Less than 10% interest,N/A - Not an investor,Confident,Market news,No,Never,Social media trends,Agree,Unlikely,Strongly disagree
3rd year,Engineering/ Science,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,Not sure,Not sure,No,Very confident,Market news,No,Often,Data and analytics,Neutral,Neutral,Strongly agree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,Not sure,Less risky,Higher risk generally leads to higher potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Never,Social media trends,Agree,Likely,Disagree
2nd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to lower potential reward,£110 in one year,To guarantee higher overall returns,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,Not sure,Rarely,Personal decisions,Agree,Unlikely,Neutral
2nd year,Engineering/ Science,Yes,1-2 years,Trading app,Somewhat confident,Compound interest/growth,It decreases,Less risky,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Somewhat confident,Stock performance charts,No,Sometimes,Social media trends,Strongly agree,Very unlikely,Neutral
3rd year,Business / Economics,Yes,Less than 6 months,Robo-advisor,Confident,Not Sure,It decreases,More risky than investing in a diversified fund,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Somewhat confident,Other,No,Rarely,Social media trends,Neutral,Unlikely,Agree
3rd year,Business / Economics,Yes,6-12 months,Trading app,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Less than 10% interest,Moderately,Confident,Market news,Not sure,Often,Data and analytics,Neutral,Very likely,Strongly agree
1st year,Humanities / Arts,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,Not sure,Less risky,Higher risk generally leads to higher potential reward,No difference,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Not confident,AI or data insights,No,Often,Personal decisions,Agree,Unlikely,Neutral
3rd year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Very confident,AI or data insights,No,Always,Data and analytics,Strongly disagree,Likely,Strongly agree
2nd year,Other,No,N/A - Not an investor,N/A - Not an investor,Very confident,Capital (Your Investment),It increases,As risky,Risk and reward are not related,£100 today,To minimize fees and expenses,Exactly 0% interest,N/A - Not an investor,Confident,Portfolio analytics,Yes,Rarely,Social media trends,Disagree,Unlikely,Neutral
1st year,Engineering/ Science,Yes,Less than 6 months,Robo-advisor,Confident,Capital (Your Investment),Not sure,Less risky,Not sure,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Slightly,Confident,Other,Yes,Rarely,Advice from others,Agree,Very unlikely,Neutral
Postgraduate,Other,Yes,Less than 6 months,Robo-advisor,Very confident,Will be equal,It increases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£100 today,To minimize fees and expenses,Not sure,Significantly,Confident,Stock performance charts,Yes,Rarely,Data and analytics,Agree,Neutral,Disagree
2nd year,Business / Economics,Yes,Less than 6 months,Trading app,Confident,Compound interest/growth,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,Significantly,Not confident,Market news,No,Often,Personal decisions,Strongly agree,Very likely,Neutral
3rd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Confident,Portfolio analytics,No,Sometimes,Data and analytics,Strongly agree,Very likely,Neutral
Postgraduate,Humanities / Arts,Yes,1-2 years,Robo-advisor,Somewhat confident,Compound interest/growth,It increases,Less risky,Higher risk generally leads to higher potential reward,£100 today,Not sure,Exactly 10% interest,Moderately,Very confident,Other,No,Never,Data and analytics,Neutral,Very unlikely,Strongly disagree
3rd year,Other,Yes,Less than 6 months,Trading app,Somewhat confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To guarantee higher overall returns,Not sure,Significantly,Somewhat confident,Portfolio analytics,No,Rarely,Personal decisions,Agree,Very unlikely,Disagree
1st year,Business / Economics,Yes,Over 2 years,Trading app,Confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,Significantly,Not confident,AI or data insights,No,Sometimes,Personal decisions,Strongly agree,Very likely,Agree
2nd year,Engineering/ Science,Yes,6-12 months,Other,Very confident,Will be equal,It decreases,Not sure,Not sure,£110 in one year,Not sure,Exactly 0% interest,No,Very confident,Market news,Not sure,Sometimes,Data and analytics,Disagree,Likely,Agree
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It increases,As risky,Higher risk generally leads to higher potential reward,£110 in one year,To reduce the overall risk of the portfolio,Less than 10% interest,N/A - Not an investor,Confident,Stock performance charts,No,Sometimes,Social media trends,Neutral,Very likely,Agree
1st year,Other,No,N/A - Not an investor,N/A - Not an investor,Somewhat confident,Compound interest/growth,It stays the same,Not sure,Not sure,£110 in one year,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Never,Advice from others,Agree,Very unlikely,Agree
3rd year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Not confident,Will be equal,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Confident,Stock performance charts,Yes,Rarely,Advice from others,Strongly agree,Neutral,Neutral
1st year,Other,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,It decreases,As risky,Risk and reward are not related,Not sure,To minimize fees and expenses,Less than 10% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,Yes,Always,Advice from others,Agree,Unlikely,Neutral
3rd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Very confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Risk and reward are not related,£110 in one year,To reduce the overall risk of the portfolio,Exactly 0% interest,N/A - Not an investor,Confident,Market news,Not sure,Always,Data and analytics,Disagree,Very likely,Agree
3rd year,Engineering/ Science,Yes,1-2 years,Trading app,Somewhat confident,Capital (Your Investment),It stays the same,More risky than investing in a diversified fund,Risk and reward are not related,No difference,To minimize fees and expenses,Exactly 0% interest,Moderately,Not confident,Stock performance charts,Not sure,Sometimes,Social media trends,Strongly agree,Very unlikely,Agree
3rd year,Other,Yes,6-12 months,Other,Not confident,Not Sure,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,No,Not confident,Portfolio analytics,No,Sometimes,Personal decisions,Neutral,Very unlikely,Strongly disagree
1st year,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Compound interest/growth,Not sure,Less risky,Higher risk generally leads to higher potential reward,£110 in one year,Not sure,Exactly 0% interest,N/A - Not an investor,Somewhat confident,Stock performance charts,No,Rarely,Social media trends,Strongly agree,Neutral,Neutral
Postgraduate,Engineering/ Science,No,N/A - Not an investor,N/A - Not an investor,Confident,Not Sure,Not sure,Not sure,Higher risk generally leads to higher potential reward,£110 in one year,To minimize fees and expenses,Exactly 10% interest,N/A - Not an investor,Confident,Market news,Yes,Rarely,Advice from others,Strongly agree,Neutral,Agree
3rd year,Engineering/ Science,Yes,Over 2 years,Other,Confident,Not Sure,Not sure,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,Not sure,Not sure,Less than 10% interest,Significantly,Somewhat confident,AI or data insights,Yes,Rarely,Advice from others,Neutral,Very likely,Agree
2nd year,Business / Economics,Yes,Over 2 years,Trading app,Not confident,Capital (Your Investment),It decreases,More risky than investing in a diversified fund,Higher risk generally leads to higher potential reward,£100 today,To reduce the overall risk of the portfolio,Exactly 10% interest,Moderately,Very confident,Portfolio analytics,No,Sometimes,Data and analytics,Neutral,Unlikely,Agree
2nd year,Engineering/ Science,Yes,Less than 6 months,Trading app,Very confident,Compound interest/growth,It decreases,As risky,Higher risk generally leads to higher potential reward,£100 today,Not sure,Exactly 10% interest,Slightly,Confident,Portfolio analytics,No,Never,Data and analytics,Neutral,Very likely,Disagree
2nd year,Humanities / Arts,Yes,1-2 years,Robo-advisor,Confident,Not Sure,It stays the same,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,No difference,To guarantee higher overall returns,Exactly 10% interest,Significantly,Confident,Stock performance charts,Yes,Never,Personal decisions,Strongly agree,Very unlikely,Agree
2nd year,Business / Economics,No,N/A - Not an investor,N/A - Not an investor,Not confident,Compound interest/growth,It decreases,More risky than investing in a diversified fund,Higher risk generally leads to lower potential reward,Not sure,To reduce the overall risk of the portfolio,Exactly 10% interest,N/A - Not an investor,Somewhat confident,Portfolio analytics,No,Always,Advice from others,Strongly agree,Neutral,Agree
Postgraduate,Other,No,N/A - Not an investor,N/A - Not an investor,Not confident,Not Sure,It decreases,Less risky,Higher risk generally leads to lower potential reward,Not sure,To minimize fees and expenses,Less than 10% interest,N/A - Not an investor,Not confident,Stock performance charts,No,Rarely,Personal decisions,Agree,Neutral,Neutral
